kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_smass
9150827,K01408.01,CANDIDATE,CANDIDATE,1.0,14.53410833,3.135172838988014,508.9119929757579,1.5673517870979807,3957.0,4.693,0.637,0.639
9391208,K01409.01,CONFIRMED,CANDIDATE,1.0,16.56062577,2.011560789165183,675.0145860486833,2.2471676507349994,5818.0,4.436,0.793,0.846
9391506,K01410.01,CONFIRMED,CANDIDATE,1.0,15.74958583,4.485766903892454,656.8290010046107,2.521380593448435,6191.0,4.454,0.902,0.945
8950853,K01412.01,CONFIRMED,CANDIDATE,0.999,37.8145252,8.537463079346011,410.61385308460706,3.2555566266548084,5988.0,4.278,1.473,1.25
11026304,K01420.01,CANDIDATE,CANDIDATE,1.0,13.35151248,3.3473256211437117,3315.611999009982,4.930116891514157,4843.0,4.562,0.785,0.781
11177707,K01423.01,CONFIRMED,CANDIDATE,1.0,124.4197175,3.5177090407299922,4108.947153193265,5.6561316288238315,5066.0,3.974,0.809,0.846
11122894,K01426.01,CONFIRMED,CANDIDATE,1.0,38.86848956,5.880425727867982,1007.2572792758639,3.0565859973182525,5618.0,4.46,0.883,0.925
11122894,K01426.02,CONFIRMED,CANDIDATE,0.912,74.92768653,4.055846677002142,4119.91737879458,6.181739007799938,5618.0,4.46,0.883,0.925
11122894,K01426.03,CANDIDATE,CANDIDATE,1.0,150.0189511,4.3823,4319.7,6.3298468889195725,5618.0,4.46,0.883,0.925
11129738,K01427.02,CANDIDATE,CANDIDATE,0.89,4.88446644,1.7886290046993958,227.01710831407595,0.9695875128956164,3883.0,4.725,0.59,0.6
11030711,K01429.01,CANDIDATE,CANDIDATE,0.997,205.912735,9.556633421038832,2379.643102844775,6.086780577639315,5644.0,4.457,1.144,0.964
11176127,K01430.01,CONFIRMED,CANDIDATE,1.0,10.47548084,2.1857968647613353,1077.1020575358614,2.3517952324041937,4463.0,4.677,0.657,0.665
11176127,K01430.02,CONFIRMED,CANDIDATE,1.0,22.92886314,1.9322401975805559,914.3998465382941,2.166901399757837,4463.0,4.677,0.657,0.665
11176127,K01430.03,CONFIRMED,CANDIDATE,0.994,77.4740991,3.8489303130963277,1544.4289757348683,2.8161452336043684,4463.0,4.677,0.657,0.665
11014932,K01432.01,CONFIRMED,CANDIDATE,1.0,6.88595222,3.401505198594612,423.687581469101,2.245063223301631,5616.0,4.394,1.0,0.942
11014932,K01432.02,CONFIRMED,CANDIDATE,0.996,15.0549356,4.606757416651546,258.18102391617083,1.7525397120037989,5616.0,4.394,1.0,0.942
11014932,K01432.04,CONFIRMED,CANDIDATE,0.997,38.2856338,6.099319524979684,327.7229662953518,1.9745091328991082,5616.0,4.394,1.0,0.942
11288505,K01433.01,CONFIRMED,CANDIDATE,1.0,19.80787763,3.351405020223047,615.099604119318,2.3182445848265654,5775.0,4.558,0.857,0.888
11037335,K01435.01,CONFIRMED,CANDIDATE,1.0,40.7150498,8.272772404276957,561.7004219604648,3.587959642953641,5968.0,4.534,1.388,1.148
11037335,K01435.02,CONFIRMED,CANDIDATE,1.0,10.44635944,2.1806681943863833,345.6362201202934,2.814522973625806,5968.0,4.534,1.388,1.148
11389771,K01436.02,CONFIRMED,CANDIDATE,1.0,13.75129636,3.748513016088497,349.0352947648212,1.9541549100315572,5814.0,4.523,0.959,0.986
11389771,K01436.03,CONFIRMED,CANDIDATE,0.975,5.41908491,2.2817935722627407,231.01782665208015,1.5898167283288474,5814.0,4.523,0.959,0.986
11599038,K01437.01,CANDIDATE,CANDIDATE,1.0,7.01733571,3.428252639510526,255.1933686498753,1.7876716853895998,6052.0,4.456,1.026,0.985
11032227,K01440.01,CONFIRMED,CANDIDATE,0.995,7.19304935,3.361767688807479,254.72286420857859,2.0541004624106187,6185.0,4.472,1.18,1.028
11356260,K01441.01,CONFIRMED,CANDIDATE,0.987,8.50698069,2.8093698279698214,293.3685007978637,1.5785893118405565,5822.0,4.428,0.845,0.846
