target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
394796,51051,10.24235866,0.002704052,6.01E-05,4.08E-06,0.193078208,0.005710179,1.268,1.366,1.155355075
394796,51051,13.54335184,0.000736129,0.000266013,4.52E-06,0.220347645,0.001555315,1.268,1.366,2.430007972
395136,74016,9.664727365,0.001365853,0.000478522,1.78E-05,0.146066515,0.002752521,0.856,1.011,2.412167301
395136,74016,32.40221553,0.003135838,0.000424566,6.74E-05,0.055845954,0.007788798,0.856,1.011,2.272108857
395586,71404,18.5348895,0.001328273,0.000664731,2.46E-05,0.138680319,0.00266751,0.694,0.675,1.898156162
395586,71404,35.40548819,0.002829113,0.000417529,6.59E-05,0.053276662,0.006831713,0.694,0.675,1.504362381
395719,82227,17.75696711,0.000181139,0.001328847,5.52E-06,0.201871631,0.000374512,1.117,1.094,4.349708887
395719,82227,58.60317239,0.001119802,0.000452088,8.83E-06,0.311629104,0.002197505,1.117,1.094,2.537080197
395773,60010,6.653713491,0.001237916,0.000426138,1.47E-05,0.143790732,0.002510305,0.866,1.03,2.319089416
395773,60010,9.841412736,0.004657767,0.000135936,1.62E-05,0.173131889,0.009483687,0.866,1.03,1.309816148
396702,22463,7.550799412,0.001676246,0.000160338,8.23E-06,0.151898437,0.003816653,1.155,1.254,1.731895764
396702,22463,29.78975053,0.003910007,0.000167893,1.50E-05,0.183115824,0.007524792,1.155,1.254,1.772228603
397007,38702,5.712901211,7.76E-05,0.001670921,4.37E-06,0.102511872,0.000160477,0.773,0.792,3.531086866
397007,38702,27.64477112,0.001572632,0.000168409,9.87E-06,0.092334305,0.003408617,0.773,0.792,1.121018589
397642,31904,6.845583164,0.001170177,0.000570508,2.62E-05,0.088769489,0.002578325,0.776,0.741,1.930431135
397642,31904,15.76627601,0.002775316,0.000392544,3.29E-05,0.13211003,0.005869783,0.776,0.741,1.601282343
397727,84769,3.332831739,0.00083926,0.000124106,3.35E-06,0.117360828,0.00173063,1.207,1.215,1.476310148
397727,84769,6.339483133,0.000937318,0.000163095,4.48E-06,0.124490154,0.001841257,1.207,1.215,1.692397411
399347,5892,5.503448298,0.000570523,0.000781992,1.80E-05,0.076058143,0.00119571,0.815,0.879,2.680991272
399347,5892,8.887539577,0.000624816,0.00091535,3.39E-05,0.050703027,0.001550977,0.815,0.879,2.900599354
399478,84692,6.433776923,0.001568595,0.000455495,2.36E-05,0.101569851,0.003131761,0.875,0.905,2.106667084
399478,84692,11.34280296,0.000614242,0.001684786,3.82E-05,0.078365399,0.00126653,0.875,0.905,4.051597069
399560,31408,3.169692501,0.000193713,0.001105123,1.21E-05,0.057919706,0.000493185,1.274,1.368,4.960171743
399560,31408,9.321869375,0.000701222,0.001054514,4.35E-05,0,0.001380482,1.274,1.368,4.845265332
399642,14366,3.046227059,0.001801629,7.53E-05,4.49E-06,0.116197151,0.003794377,0.907,1.09,1.031404706
399642,14366,4.96253273,0.001550702,0.000108437,5.43E-06,0.129476,0.00339965,0.907,1.09,1.238000014
400025,16046,24.62335266,0.002317683,0.000406208,5.38E-05,0.04943893,0.005398868,0.786,0.753,1.655291256
400025,16046,284.2422188,0.002505052,0.003434123,0.000136047,0,0.004759012,0.786,0.753,4.812915522
