,#x
989,3.69E-11
990,2.61E-11
991,8.21E-11
992,4.78E-10
993,1.68E-09
994,4.53E-09
995,1.06E-08
996,2.32E-08
997,4.84E-08
998,8.53E-08
999,1.01E-07
1000,8.81E-08
1001,7.69E-08
1002,7.88E-08
1003,9.88E-08
1004,1.54E-07
1005,3.10E-07
1006,9.92E-07
1007,0.095904995
1008,0.073580434
1009,1.50E-06
1010,6.13E-07
1011,3.84E-07
1012,2.91E-07
1013,2.43E-07
1014,2.10E-07
1015,1.80E-07
1016,1.50E-07
1017,1.22E-07
1018,9.84E-08
1019,8.07E-08
1020,6.87E-08
1021,6.18E-08
1022,6.00E-08
1023,6.39E-08
1024,7.62E-08
1025,1.04E-07
1026,1.69E-07
1027,3.52E-07
1028,1.01E-06
1029,1.25E-06
1030,3.86E-07
1031,1.48E-07
1032,7.18E-08
1033,3.95E-08
1034,2.32E-08
1035,1.40E-08
1036,8.41E-09
1037,4.96E-09
1038,2.82E-09
1039,1.52E-09
1040,7.66E-10
1041,3.60E-10
1042,1.60E-10
1043,7.24E-11
1044,3.85E-11
1045,2.68E-11
1046,8.12E-11
1047,4.69E-10
1048,1.63E-09
1049,4.32E-09
1050,9.82E-09
1051,2.04E-08
1052,3.82E-08
1053,5.75E-08
1054,6.18E-08
1055,5.41E-08
1056,4.82E-08
1057,4.93E-08
1058,5.96E-08
1059,8.43E-08
1060,1.38E-07
1061,2.55E-07
1062,5.14E-07
1063,9.12E-07
1064,1.04E-06
1065,8.69E-07
1066,7.37E-07
1067,6.94E-07
1068,7.03E-07
1069,7.01E-07
1070,6.18E-07
1071,4.67E-07
1072,3.25E-07
1073,2.26E-07
1074,1.65E-07
1075,1.29E-07
1076,1.09E-07
1077,1.01E-07
1078,1.05E-07
1079,1.23E-07
1080,1.68E-07
1081,2.84E-07
1082,7.13E-07
1083,1.11E-05
1084,0.014507418
1085,7.08E-07
1086,2.11E-07
1087,9.43E-08
1088,4.95E-08
1089,2.81E-08
1090,1.64E-08
1091,9.65E-09
1092,5.57E-09
1093,3.11E-09
1094,1.64E-09
1095,8.15E-10
1096,3.78E-10
1097,1.67E-10
1098,7.57E-11
1099,4.03E-11
1100,2.77E-11
1101,7.86E-11
1102,4.50E-10
1103,1.54E-09
1104,4.01E-09
1105,8.82E-09
1106,1.73E-08
1107,2.93E-08
1108,3.94E-08
1109,4.01E-08
1110,3.52E-08
1111,3.16E-08
1112,3.19E-08
1113,3.70E-08
1114,4.83E-08
1115,6.83E-08
1116,1.00E-07
1117,1.46E-07
1118,2.00E-07
1119,2.56E-07
1120,3.17E-07
1121,4.04E-07
1122,5.76E-07
1123,1.01E-06
1124,2.74E-06
1125,0.248842434
1126,0.000249493
1127,2.31E-06
1128,7.90E-07
1129,4.16E-07
1130,2.73E-07
1131,2.09E-07
1132,1.83E-07
1133,1.82E-07
1134,2.08E-07
1135,2.80E-07
1136,4.79E-07
1137,1.32E-06
1138,0.007247189
1139,0.016361521
1140,8.33E-07
1141,2.50E-07
1142,1.10E-07
1143,5.67E-08
1144,3.14E-08
1145,1.80E-08
1146,1.04E-08
1147,5.90E-09
1148,3.24E-09
1149,1.69E-09
1150,8.31E-10
1151,3.83E-10
1152,1.71E-10
1153,7.93E-11
1154,4.31E-11
1155,2.92E-11
1156,7.40E-11
1157,4.20E-10
1158,1.42E-09
1159,3.61E-09
1160,7.67E-09
1161,1.41E-08
1162,2.21E-08
1163,2.74E-08
1164,2.70E-08
1165,2.37E-08
1166,2.12E-08
1167,2.10E-08
1168,2.35E-08
1169,2.90E-08
1170,3.77E-08
1171,4.97E-08
1172,6.46E-08
1173,8.18E-08
1174,1.02E-07
1175,1.27E-07
