,Planet,Per,E_Per,e_Per,Rp/Rstar,E_Rp/Rstar,e_Rp/Rstar,T,E_T,e_T,Rp,E_Rp,e_Rp,Tmax-c,E_Tmax-c,e_Tmax-c,a,E_a,e_a,S,E_S,e_S,Samp,KOI,Teff,e_Teff,FeH,e_FeH,Rstar,E_Rstar,e_Rstar,Mstar-iso,E_Mstar-iso,e_Mstar-iso,Rstar-iso,E_Rstar-iso,e_Rstar-iso,age-iso,E_age-iso,e_age-iso
832,K02146.01,2.94902911,7.72e-06,-7.72e-06,1.714,0.078,-0.078, 1.9742,0.0643,-0.0643,1.37,0.08,-0.08,2.373,0.08,-0.08,0.0381,0.0005,-0.0005,170.0856,22.9748,-22.9748,1,2146,4733,110,0.14,0.09,0.73,0.03,-0.02,0.77,0.03,-0.03,0.74,0.03,-0.02, 7.5, 7.0,-5.2
833,K02148.01,11.93205399,4.833e-05,-4.833e-05,1.225,0.049,-0.049, 6.0558,0.0998,-0.0998,2.15,0.12,-0.12,6.8755,0.214,-0.214,0.1112,0.0021,-0.0021,179.9285,13.6989,-13.6989,1,2148,5612,100,0.42,0.06,1.60,0.07,-0.06,1.21,0.05,-0.09,1.58,0.03,-0.04, 5.6, 2.3,-1.1
834,K02148.02,7.54235832,3.786e-05,-3.786e-05,1.054,0.04,-0.04, 4.6198,0.1111,-0.1111,1.84,0.1,-0.1,5.9097,0.1839,-0.1839,0.0822,0.0015,-0.0015,329.6512,25.0981,-25.0981,1,2148,5612,100,0.42,0.06,1.60,0.07,-0.06,1.21,0.05,-0.09,1.58,0.03,-0.04, 5.6, 2.3,-1.1
835,K02149.01,13.15140223,7.976e-05,-7.976e-05,0.916,0.04,-0.04, 5.1930,0.1326,-0.1326,1.47,0.08,-0.08,6.3636,0.1066,-0.1066,0.1216,0.0009,-0.0009,193.8782,15.8517,-15.8517,1,2149,6235,100,0.22,0.06,1.46,0.06,-0.05,1.30,0.03,-0.03,1.46,0.02,-0.03, 2.2, 0.5,-0.5
836,K02153.01,59.9809868,0.0004696,-0.0004696,1.555,0.067,-0.067, 6.7797,0.1774,-0.1774,2.22,0.13,-0.13,9.9747,0.2721,-0.2721,0.3111,0.0042,-0.0042,20.5007,1.6486,-1.6486,1,2153,6023,100,-0.06,0.06,1.31,0.05,-0.05,1.08,0.04,-0.05,1.30,0.03,-0.03, 5.3, 1.6,-1.3
837,K02153.02,25.7457957,0.0003212,-0.0003212,1.096,0.046,-0.046, 6.8433,0.1996,-0.1996,1.57,0.09,-0.09,7.5455,0.2058,-0.2058,0.178,0.0024,-0.0024,62.6058,5.0345,-5.0345,1,2153,6023,100,-0.06,0.06,1.31,0.05,-0.05,1.08,0.04,-0.05,1.30,0.03,-0.03, 5.3, 1.6,-1.3
838,K02158.01,4.5620407,1.624e-05,-1.624e-05,0.827,0.037,-0.037, 2.6792,0.0850,-0.0850,0.84,0.05,-0.05,3.2734,0.1016,-0.1016,0.0529,0.0007,-0.0007,225.3669,19.4195,-19.4195,1,2158,5357,100,0.02,0.06,0.93,0.04,-0.04,0.87,0.04,-0.04,0.92,0.02,-0.02,10.5, 4.1,-3.9
839,K02158.02,6.68231249,5.906e-05,-5.906e-05,0.638,0.044,-0.044, 3.1265,0.1794,-0.1794,0.65,0.05,-0.05,3.7128,0.1152,-0.1152,0.068,0.001,-0.001,136.1686,11.7334,-11.7334,1,2158,5357,100,0.02,0.06,0.93,0.04,-0.04,0.87,0.04,-0.04,0.92,0.02,-0.02,10.5, 4.1,-3.9
840,K02159.01,7.5966998,3.322e-05,-3.322e-05,1.039,0.046,-0.046, 3.5531,0.1011,-0.1011,1.12,0.07,-0.07,3.8848,0.0921,-0.0921,0.0781,0.0009,-0.0009,155.5835,12.6864,-12.6864,1,2159,5764,100,0.12,0.06,0.98,0.04,-0.04,1.02,0.03,-0.04,0.98,0.02,-0.02, 2.4, 2.4,-1.5
841,K02162.01,108.593113,0.00113,-0.00113,1.698,0.089,-0.089, 7.7574,0.2168,-0.2168,1.69,0.11,-0.11,9.3047,0.3201,-0.3201,0.4191,0.0059,-0.0059,4.3341,0.3949,-0.3949,1,2162,5686,100,-0.43,0.06,0.91,0.04,-0.04,0.81,0.04,-0.03,0.90,0.02,-0.02,10.7, 3.8,-3.4
842,K02162.02,199.66876,0.003961,-0.003961,1.466,0.081,-0.081, 8.6545,0.4716,-0.4716,1.45,0.1,-0.1,11.376,0.3914,-0.3914,0.6264,0.0088,-0.0088,1.9398,0.1767,-0.1767,1,2162,5686,100,-0.43,0.06,0.91,0.04,-0.04,0.81,0.04,-0.03,0.90,0.02,-0.02,10.7, 3.8,-3.4
843,K02169.01,5.45298742,1.82e-05,-1.82e-05,0.848,0.039,-0.039, 2.0690,0.0776,-0.0776,0.8,0.05,-0.05,3.1789,0.0677,-0.0677,0.0609,0.0006,-0.0006,154.2162,13.1387,-13.1387,1,2169,5396,100,0.18,0.06,0.86,0.04,-0.03,0.93,0.03,-0.03,0.87,0.01,-0.01, 2.9, 3.3,-1.9
844,K02169.02,3.26662733,1.395e-05,-1.395e-05,0.709,0.038,-0.038, 2.0251,0.1142,-0.1142,0.67,0.04,-0.04,2.6844,0.0571,-0.0571,0.0434,0.0005,-0.0005,303.3026,25.8404,-25.8404,1,2169,5396,100,0.18,0.06,0.86,0.04,-0.03,0.93,0.03,-0.03,0.87,0.01,-0.01, 2.9, 3.3,-1.9
845,K02173.01,37.8154157,0.0002667,-0.0002667,1.526,0.089,-0.089, 4.5139,0.1567,-0.1567,1.18,0.08,-0.08,5.4246,0.1688,-0.1688,0.2038,0.0028,-0.0028,5.5503,0.7348,-0.7348,1,2173,4703,110,0.12,0.09,0.70,0.02,-0.02,0.75,0.03,-0.03,0.73,0.02,-0.02, 6.8, 7.1,-4.8
846,K02191.01,8.84784273,3.369e-05,-3.369e-05,1.942,0.119,-0.119, 2.0075,0.0973,-0.0973,1.27,0.09,-0.09,3.0129,0.0552,-0.0552,0.0718,0.0005,-0.0005,14.1009,1.5343,-1.5343,1,2191,3885,70,0.25,0.09,0.60,0.02,-0.02,0.58,0.01,-0.01,0.60,0.02,-0.02, 9.7, 6.7,-6.5
847,K02193.01,2.36172447,3.49e-06,-3.49e-06,2.19,0.13,-0.13, 1.1954,0.0413,-0.0413,1.5,0.11,-0.11,1.9178,0.0534,-0.0534,0.0304,0.0003,-0.0003,121.299,13.6574,-13.6574,1,2193,4341,70,-0.34,0.09,0.62,0.02,-0.02,0.61,0.02,-0.02,0.59,0.02,-0.02,11.1, 6.0,-7.0
