"","x"
"386",1.02115985032966e-10
"387",3.36133091292286e-10
"388",1.08472016348816e-09
"389",2.80110163061707e-09
"390",6.11003869977675e-09
"391",1.18985990641955e-08
"392",2.13525087210228e-08
"393",3.58739208976919e-08
"394",5.73873553561021e-08
"395",8.96481804850462e-08
"396",1.35174311025726e-07
"397",1.67080629333849e-07
"398",1.34160683327739e-07
"399",7.93148666217453e-08
"400",4.46243367913674e-08
"401",2.63622714770034e-08
"402",1.66452271902171e-08
"403",1.12557256009349e-08
"404",8.1656650093536e-09
"405",6.35319717419236e-09
"406",5.26259201860679e-09
"407",4.57217774071826e-09
"408",4.0915547409985e-09
"409",3.71125541934629e-09
"410",3.37415447690344e-09
"411",3.05777947166321e-09
"412",2.763482920417e-09
"413",2.50983576597802e-09
"414",2.32821339249944e-09
"415",2.25957912796893e-09
"416",2.35211726255474e-09
"417",2.65882532097875e-09
"418",3.23233839190521e-09
"419",4.11126291012301e-09
"420",5.28892899551079e-09
"421",6.65734511762717e-09
"422",7.94441678293287e-09
"423",8.7271316669815e-09
"424",8.62937028704016e-09
"425",7.61401031896214e-09
"426",6.03255315506358e-09
"427",4.35422317150107e-09
"428",2.90488672438312e-09
"429",1.81203570243574e-09
"430",1.06909151128043e-09
"431",6.07371288863887e-10
"432",3.42289911360099e-10
"433",1.98574937793095e-10
"434",1.21749445015274e-10
"435",7.92142035398028e-11
"436",5.45076796338162e-11
"437",3.99200223389542e-11
"438",3.13945756410305e-11
"439",2.63717802664184e-11
"440",2.31614452093795e-11
"441",6.90805332833254e-11
"442",3.267851471078e-10
"443",1.12523023919341e-09
"444",2.95674037080464e-09
"445",6.54532823733586e-09
"446",1.30194152961537e-08
"447",2.41159480408113e-08
"448",4.23342508852799e-08
"449",7.16351470194306e-08
"450",1.20337453030154e-07
"451",1.99155256813849e-07
"452",2.57104703028767e-07
"453",1.84524719210925e-07
"454",9.64034221630613e-08
"455",5.09687766675178e-08
"456",2.93665539318141e-08
"457",1.84246834237921e-08
"458",1.25078492963149e-08
"459",9.16115007046745e-09
"460",7.21027406616315e-09
"461",6.03500076637613e-09
"462",5.28218733180626e-09
"463",4.74496460185413e-09
"464",4.30593120002077e-09
"465",3.90578289069284e-09
"466",3.52388924565685e-09
"467",3.1659767113315e-09
"468",2.85626863043869e-09
"469",2.63233788548519e-09
"470",2.54194176810397e-09
"471",2.64151722111946e-09
"472",2.99524861575112e-09
"473",3.67149767305789e-09
"474",4.72941655307244e-09
"475",6.18235689493347e-09
"476",7.92184394037811e-09
"477",9.61414744398188e-09
"478",1.0684939388037e-08
"479",1.05908337183564e-08
"480",9.2765297594296e-09
"481",7.25146102182872e-09
"482",5.15697314826671e-09
"483",3.39584542059732e-09
"484",2.09644550225534e-09
"485",1.22635652994285e-09
"486",6.90550268776766e-10
"487",3.84526347781031e-10
"488",2.19366252702844e-10
"489",1.31800257456338e-10
"490",8.40060591783939e-11
"491",5.67263377668709e-11
"492",4.08870090492069e-11
"493",3.17820684646246e-11
"494",2.65200333364503e-11
"495",2.32274715372243e-11
"496",6.00209710799436e-11
"497",3.35253625824277e-10
"498",1.18407490689662e-09
"499",3.14834831015947e-09
"500",7.0772314895122e-09
"501",1.4426678000535e-08
"502",2.77620757529393e-08
"503",5.14573360591334e-08
"504",9.33660675210581e-08
"505",1.71261178171506e-07
"506",3.16386382936417e-07
"507",4.13777595878099e-07
"508",2.45611410030156e-07
"509",1.13081790488959e-07
"510",5.7154352251899e-08
"511",3.25592002662515e-08
"512",2.05040196435279e-08
"513",1.40849772936488e-08
"514",1.04801638432148e-08
"515",8.38120956259144e-09
"516",7.10825896663737e-09
"517",6.27753440385895e-09
"518",5.66570312971819e-09
"519",5.14765291564525e-09
"520",4.66260711637697e-09
"521",4.19289815544096e-09
"522",3.74996423292077e-09
"523",3.36503915101488e-09
"524",3.08320561398697e-09
"525",2.96041010405123e-09
"526",3.06320233248644e-09
"527",3.47001686385875e-09
"528",4.27050130922395e-09
"529",5.55429877863166e-09
"530",7.37019455068241e-09
"531",9.6240033300713e-09
"532",1.19081178510875e-08
"533",1.34182955418627e-08
"534",1.3330325681985e-08
"535",1.15584236854978e-08
"536",8.88115121663923e-09
"537",6.20617944375419e-09
"538",4.03119520473217e-09
"539",2.46757217698062e-09
"540",1.43785528848325e-09
"541",8.08668390101339e-10
"542",4.49358933759159e-10
"543",2.5439384457994e-10
"544",1.50340356629636e-10
"545",9.34606998477414e-11
"546",6.12375040536933e-11
"547",4.28291892787247e-11
"548",3.25131058779727e-11
"549",2.67643297417616e-11
"550",2.33171256456978e-11
"551",5.93349341891856e-11
"552",3.51422265507637e-10
"553",1.25541381154284e-09
"554",3.37224158861212e-09
"555",7.70670883600529e-09
"556",1.61589188121465e-08
"557",3.2574303816788e-08
"558",6.48040556086533e-08
"559",1.29466958851039e-07
"560",2.68547328324789e-07
"561",5.72963223021832e-07
"562",6.90243899183902e-07
"563",3.08749886368183e-07
"564",1.28626885223375e-07
"565",6.3703570326915e-08
"566",3.64140076604983e-08
"567",2.32404035617987e-08
"568",1.62638154568056e-08
"569",1.23474318349957e-08
"570",1.00557072625126e-08
"571",8.64689919833075e-09
"572",7.70353868425561e-09
"573",6.98376245754141e-09
"574",6.35382393534242e-09
"575",5.7514599042759e-09
"576",5.16258380129001e-09
"577",4.60533829348742e-09
"578",4.11914070406521e-09
"579",3.75785657255467e-09
"580",3.58710090192881e-09
"581",3.68560401506779e-09
"582",4.14959865855170e-09
"583",5.09688292270751e-09
"584",6.66107076648189e-09
"585",8.95032562856112e-09
"586",1.19148647636434e-08
"587",1.50702291105213e-08
"588",1.72639664840576e-08
"589",1.71879627402791e-08
"590",1.47031673095311e-08
"591",1.10593151580693e-08
"592",7.57680744126234e-09
"593",4.85764228362866e-09
"594",2.95955489466741e-09
"595",1.73048281073107e-09
"596",9.82787601489516e-10
"597",5.52426440240406e-10
"598",3.1437837906934e-10
"599",1.84037982005488e-10
"600",1.11284626847079e-10
"601",6.98489416753809e-11
"602",4.64977789358195e-11
"603",3.38407926188294e-11
"604",2.71686648806509e-11
"605",2.34415467691148e-11
"606",6.15572300282029e-11
"607",3.71415143429116e-10
"608",1.3354820952222e-09
"609",3.62137488041668e-09
"610",8.41987354602439e-09
"611",1.82149904091744e-08
"612",3.88148479106267e-08
"613",8.48383024079881e-08
"614",1.9627484876018e-07
"615",5.03655556927594e-07
"616",1.37573971174986e-06
"617",1.15041655672091e-06
"618",3.66189736094339e-07
